all_other_loans,candidate_contribution,cash_on_hand_beginning_period,committee_designation,committee_designation_full,committee_id,committee_name,committee_state,committee_type,committee_type_full,contribution_refunds,contributions,coverage_end_date,coverage_start_date,cycle,disbursements,filing_frequency,filing_frequency_full,first_f1_date,first_file_date,individual_contributions,individual_itemized_contributions,individual_unitemized_contributions,last_beginning_image_number,last_cash_on_hand_end_period,last_debts_owed_by_committee,last_debts_owed_to_committee,last_report_type_full,last_report_year,loan_repayments,loan_repayments_candidate_loans,loan_repayments_other_loans,loans,loans_made_by_candidate,net_contributions,net_operating_expenditures,offsets_to_operating_expenditures,operating_expenditures,organization_type,organization_type_full,other_disbursements,other_political_committee_contributions,other_receipts,party_full,political_party_committee_contributions,receipts,refunded_individual_contributions,refunded_other_political_committee_contributions,refunded_political_party_committee_contributions,transaction_coverage_date,transfers_from_other_authorized_committee,transfers_to_other_authorized_committee,treasurer_name
0.0,0.0,0.0,P,Principal campaign committee,C00795542,MADISON FOR CONGRESS,OH,H,House,0.0,0.0,2026-06-30T00:00:00,2025-01-01T00:00:00,2026,0.0,Q,Quarterly filer,2021-11-23,2021-11-23,0.0,0.0,0.0,202607079874800620,0.0,208759.21,0.0,JULY QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,REPUBLICAN PARTY,0.0,0.0,0.0,0.0,0.0,2026-06-30,0.0,0.0,"OBRIEN, NORBERT"
0.0,0.0,114178.99,P,Principal campaign committee,C00025379,FRIENDS OF JOHN LAFALCE,NY,H,House,0.0,0.0,2025-09-30T00:00:00,2025-01-01T00:00:00,2026,115003.52,T,Terminated,1977-04-01,1976-07-12,0.0,0.0,0.0,202510159791541818,0.0,0.0,0.0,TERMINATION REPORT,2025,0.0,0.0,0.0,0.0,0.0,0.0,2182.65,0.0,2182.65,,,112820.87,0.0,824.53,DEMOCRATIC PARTY,0.0,824.53,0.0,0.0,0.0,2025-09-30,0.0,0.0,"LAFALCE, MARTIN J"
0.0,0.0,20.91,P,Principal campaign committee,C00710798,SOU MOUA FOR CONGRESS,CA,H,House,0.0,0.0,2026-06-30T00:00:00,2025-01-01T00:00:00,2026,0.0,Q,Quarterly filer,2019-07-02,2019-07-02,0.0,0.0,0.0,202607089874800863,20.91,5700.0,0.0,JULY QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,REPUBLICAN PARTY,0.0,0.0,0.0,0.0,0.0,2026-06-30,0.0,0.0,"MOUA, SOU"
0.0,0.0,442.11,P,Principal campaign committee,C00470393,CATES FOR CONGRESS,GA,H,House,0.0,0.0,2026-06-30T00:00:00,2025-01-01T00:00:00,2026,0.0,Q,Quarterly filer,2009-11-16,2009-11-16,0.0,0.0,0.0,202606309874288384,442.11,250000.0,0.0,JULY QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,REPUBLICAN PARTY,0.0,0.0,0.0,0.0,0.0,2026-06-30,0.0,0.0,"OVERCASH, WILLIAM G"
0.0,0.0,33085.14,P,Principal campaign committee,C00244335,CITIZENS FOR ELEANOR HOLMES NORTON,DC,H,House,0.0,13774.8,2026-01-25T00:00:00,2025-01-01T00:00:00,2026,86859.94,T,Terminated,1990-04-30,1990-04-30,1774.8,1000.0,774.8,202601259794159601,0.0,90000.0,0.0,TERMINATION REPORT,2026,0.0,0.0,0.0,40000.0,40000.0,13774.8,86659.94,0.0,86659.94,,,200.0,12000.0,0.0,DEMOCRATIC PARTY,0.0,53774.8,0.0,0.0,0.0,2026-01-25,0.0,0.0,"PELT, JACQUELINE"
0.0,0.0,1750.0,P,Principal campaign committee,C00583369,GEORGE ROUCO FOR CONGRESS,NC,H,House,0.0,0.0,2026-06-30T00:00:00,2025-01-01T00:00:00,2026,0.0,Q,Quarterly filer,2015-08-05,2015-08-05,0.0,0.0,0.0,202606309874288328,1750.0,27903.39,0.0,JULY QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,REPUBLICAN PARTY,0.0,0.0,0.0,0.0,0.0,2026-06-30,0.0,0.0,"MCMICHAEL, COLLIN"
0.0,0.0,0.0,P,Principal campaign committee,C00719880,STAAT FOR CONGRESS,CA,H,House,0.0,0.0,2026-06-30T00:00:00,2025-01-01T00:00:00,2026,0.0,A,Administratively terminated,2019-09-17,2019-09-17,0.0,0.0,0.0,202607019874305512,0.0,4000.0,0.0,JULY QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,REPUBLICAN PARTY,0.0,0.0,0.0,0.0,0.0,2026-06-30,0.0,0.0,"CRUMMITT, GARY"
0.0,0.0,5271.48,P,Principal campaign committee,C00259143,LUCILLE ROYBAL-ALLARD FOR CONGRESS,DC,H,House,0.0,0.0,2025-04-17T00:00:00,2025-01-01T00:00:00,2026,5271.48,T,Terminated,1992-01-22,1992-01-22,0.0,0.0,0.0,202504179756114370,0.0,0.0,0.0,TERMINATION REPORT,2025,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,142.0,,,5129.48,0.0,0.0,DEMOCRATIC PARTY,0.0,0.0,0.0,0.0,0.0,2025-04-17,0.0,0.0,"HART, A. CHRISTIAN"
0.0,0.0,0.0,P,Principal campaign committee,C00743153,BOB HAMILTON FOR KANSAS INC.,KS,S,Senate,0.0,0.0,2026-06-30T00:00:00,2025-01-01T00:00:00,2026,0.0,A,Administratively terminated,2020-03-30,2020-03-30,0.0,0.0,0.0,202607019874288734,0.0,1150.0,0.0,JULY QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,REPUBLICAN PARTY,0.0,0.0,0.0,0.0,0.0,2026-06-30,0.0,0.0,"PHILLIPS, ROBERT III"
0.0,0.0,83694.17,P,Principal campaign committee,C00269340,LOBIONDO FOR CONGRESS,NJ,H,House,0.0,0.0,2026-01-02T00:00:00,2025-01-01T00:00:00,2026,84265.17,T,Terminated,1992-05-29,1992-05-28,0.0,0.0,0.0,202601029793901500,0.0,0.0,0.0,TERMINATION REPORT,2026,0.0,0.0,0.0,0.0,0.0,0.0,83694.17,571.0,84265.17,,,0.0,0.0,0.0,REPUBLICAN PARTY,0.0,571.0,0.0,0.0,0.0,2026-01-02,0.0,0.0,"PADULESE, JAMIE"
