committee_id,committee_state,coverage_end_date,coverage_start_date,cycle,filing_frequency,filing_frequency_full,first_file_date,total_independent_contributions,total_independent_expenditures,transaction_coverage_date
C90011800,IN,2026-06-30T00:00:00,2026-04-01T00:00:00,2026,Q,Quarterly filer,2010-10-12,0.0,35877.48,
C90009317,DC,2025-03-31T00:00:00,2025-01-01T00:00:00,2026,Q,Quarterly filer,2006-09-12,0.0,84457.25,
C90021932,PA,2025-03-31T00:00:00,2025-01-01T00:00:00,2026,Q,Quarterly filer,2022-12-16,0.0,3104.3,
C90019902,NC,2026-03-31T00:00:00,2026-01-01T00:00:00,2026,Q,Quarterly filer,2020-10-13,0.0,32847.8,
C90023250,TN,2025-04-15T00:00:00,2025-01-01T00:00:00,2026,Q,Quarterly filer,2025-02-24,0.0,762.31,
C90015181,DC,2026-06-30T00:00:00,2026-04-01T00:00:00,2026,Q,Quarterly filer,2014-10-29,0.0,1102022.75,
C90010620,DC,2026-03-31T00:00:00,2026-01-01T00:00:00,2026,Q,Quarterly filer,2008-10-09,0.0,306472.13,
C90019969,NJ,2026-03-31T00:00:00,2026-01-01T00:00:00,2026,Q,Quarterly filer,2020-10-13,0.0,40000.0,
C90023342,NC,2026-06-30T00:00:00,2026-01-01T00:00:00,2026,Q,Quarterly filer,2026-02-18,100000.0,91000.0,
C90023334,DC,2026-03-31T00:00:00,2026-01-01T00:00:00,2026,Q,Quarterly filer,2026-02-12,0.0,10000.0,
C90020058,OH,2026-03-31T00:00:00,2026-01-01T00:00:00,2026,Q,Quarterly filer,2020-10-15,0.0,617.13,
C90023375,LA,2026-03-31T00:00:00,2026-01-01T00:00:00,2026,Q,Quarterly filer,2026-04-15,4307.5,4307.5,
C90022542,MA,2025-12-31T00:00:00,2025-07-01T00:00:00,2026,Q,Quarterly filer,2024-10-06,0.0,0.0,
C90015868,IL,2026-03-31T00:00:00,2026-01-01T00:00:00,2026,Q,Quarterly filer,2016-03-06,192310.0,13604.9,
C90023300,GA,2025-12-31T00:00:00,2025-10-01T00:00:00,2026,Q,Quarterly filer,2025-11-21,850.0,3806.88,
C90017906,AZ,2025-12-31T00:00:00,2025-04-01T00:00:00,2026,Q,Quarterly filer,2018-09-14,0.0,0.0,
C90023417,LA,2026-03-31T00:00:00,2026-01-01T00:00:00,2026,Q,Quarterly filer,2026-05-03,0.0,1306.09,
C90023292,DC,2025-12-31T00:00:00,2025-07-01T00:00:00,2026,Q,Quarterly filer,2025-09-18,100000.0,100000.0,
C90023359,IL,2026-03-31T00:00:00,2026-01-01T00:00:00,2026,Q,Quarterly filer,2026-03-09,22000.0,12639.07,
C90018334,CA,2026-06-30T00:00:00,2026-04-01T00:00:00,2026,Q,Quarterly filer,2018-10-25,0.0,46205.0,
C90023326,NY,2026-06-30T00:00:00,2025-10-01T00:00:00,2026,Q,Quarterly filer,2025-12-16,0.0,341239.0,
C90013947,WI,2026-06-30T00:00:00,2025-01-01T00:00:00,2026,Q,Quarterly filer,2012-10-23,0.0,0.0,
C90023425,VA,2026-06-30T00:00:00,2026-04-01T00:00:00,2026,Q,Quarterly filer,2026-05-05,0.0,50000.0,
C90023524,WA,2026-06-30T00:00:00,2026-04-01T00:00:00,2026,Q,Quarterly filer,2026-07-09,330.0,868.98,
C90023284,DC,2025-09-30T00:00:00,2025-07-01T00:00:00,2026,Q,Quarterly filer,2025-07-31,0.0,15000.0,
C90020363,TX,2026-06-30T00:00:00,2026-01-01T00:00:00,2026,Q,Quarterly filer,2020-10-21,1125.0,11775.04,
C90023490,MA,2026-06-30T00:00:00,2026-06-18T00:00:00,2026,Q,Quarterly filer,2026-06-21,0.0,700000.0,
C90023367,NY,2026-06-30T00:00:00,2026-01-01T00:00:00,2026,Q,Quarterly filer,2026-04-15,0.0,3874.67,
C90019829,NM,2026-06-30T00:00:00,2026-04-30T00:00:00,2026,Q,Quarterly filer,2020-10-06,0.0,1062.23,
C90011578,DC,2026-06-30T00:00:00,2026-04-01T00:00:00,2026,Q,Quarterly filer,2010-08-10,0.0,211294.0,
C90017955,DC,2026-06-30T00:00:00,2026-04-01T00:00:00,2026,Q,Quarterly filer,2018-09-25,4497489.01,8606.82,
C90023458,IL,2026-06-30T00:00:00,2026-04-01T00:00:00,2026,Q,Quarterly filer,2026-05-15,0.0,171308.1,
C90023532,CA,2026-06-30T00:00:00,2026-01-01T00:00:00,2026,Q,Quarterly filer,2026-07-15,0.0,646.71,
C90018904,VA,2026-06-30T00:00:00,2025-01-01T00:00:00,2026,Q,Quarterly filer,2020-01-08,112666.59,207338.33,
C90023433,TX,2026-06-30T00:00:00,2026-04-01T00:00:00,2026,Q,Quarterly filer,2026-05-08,0.0,265321.28,
C90016023,NY,2026-06-30T00:00:00,2026-04-01T00:00:00,2026,Q,Quarterly filer,2016-04-19,125000.0,66920.01,
C90011156,DC,2026-06-30T00:00:00,2026-04-01T00:00:00,2026,Q,Quarterly filer,2010-03-25,0.0,2162.79,
C90017492,DC,2026-06-30T00:00:00,2025-04-01T00:00:00,2026,Q,Quarterly filer,2018-03-13,715507.1,37450.69,
C90022914,PA,2026-06-30T00:00:00,2026-04-01T00:00:00,2026,Q,Quarterly filer,2024-10-24,0.0,18500.0,
C90023318,CA,2026-06-30T00:00:00,2025-10-01T00:00:00,2026,Q,Quarterly filer,2025-12-01,0.0,3071.23,
C90023540,WI,2026-06-30T00:00:00,2026-04-01T00:00:00,2026,Q,Quarterly filer,2026-07-16,100.0,856.05,
C90014515,CA,2026-06-30T00:00:00,2026-04-01T00:00:00,2026,Q,Quarterly filer,2013-01-30,0.0,15059.27,
C90012444,CA,2026-06-30T00:00:00,2026-04-01T00:00:00,2026,A,Administratively terminated,2010-11-01,0.0,774.05,
C90019357,DC,2026-06-30T00:00:00,2026-04-01T00:00:00,2026,Q,Quarterly filer,2020-06-08,0.0,592.36,
