all_loans_received,allocated_federal_election_levin_share,cash_on_hand_beginning_period,committee_designation,committee_designation_full,committee_id,committee_name,committee_state,committee_type,committee_type_full,contribution_refunds,contributions,contributions_ie_and_party_expenditures_made_percent,convention_exp,coordinated_expenditures_by_party_committee,coverage_end_date,coverage_start_date,cycle,disbursements,exp_prior_years_subject_limits,exp_subject_limits,fed_candidate_committee_contributions,fed_candidate_contribution_refunds,fed_disbursements,fed_election_activity,fed_operating_expenditures,fed_receipts,federal_funds,filing_frequency,filing_frequency_full,first_f1_date,first_file_date,independent_expenditures,individual_contributions,individual_contributions_percent,individual_itemized_contributions,individual_unitemized_contributions,itemized_convention_exp,itemized_other_disb,itemized_other_income,itemized_other_refunds,itemized_refunds_relating_convention_exp,last_beginning_image_number,last_cash_on_hand_end_period,last_debts_owed_by_committee,last_debts_owed_to_committee,last_report_type_full,last_report_year,loan_repayments_made,loan_repayments_received,loans_and_loan_repayments_made,loans_and_loan_repayments_received,loans_made,net_contributions,net_operating_expenditures,non_allocated_fed_election_activity,offsets_to_operating_expenditures,operating_expenditures,operating_expenditures_percent,organization_type,organization_type_full,other_disbursements,other_fed_operating_expenditures,other_fed_receipts,other_political_committee_contributions,other_refunds,party_and_other_committee_contributions_percent,party_full,political_party_committee_contributions,receipts,refunded_individual_contributions,refunded_other_political_committee_contributions,refunded_political_party_committee_contributions,refunds_relating_convention_exp,shared_fed_activity,shared_fed_activity_nonfed,shared_fed_operating_expenditures,shared_nonfed_operating_expenditures,sponsor_candidate_ids,sponsor_candidate_list,total_exp_subject_limits,total_transfers,transaction_coverage_date,transfers_from_affiliated_party,transfers_from_nonfed_account,transfers_from_nonfed_levin,transfers_to_affiliated_committee,treasurer_name,unitemized_convention_exp,unitemized_other_disb,unitemized_other_income,unitemized_other_refunds,unitemized_refunds_relating_convention_exp
0.0,0.0,144285.41,B,Lobbyist/Registrant PAC,C00000059,"HALLMARK CARDS, INC. PAC (HALLPAC)",MO,Q,PAC - Qualified,0.0,61416.81,80.1,0.0,0.0,2026-07-31T00:00:00,2025-01-01T00:00:00,2026,100500.0,0.0,0.0,80500.0,5000.0,100500.0,0.0,0.0,66416.81,0.0,M,Monthly filer,1976-04-22,1976-04-22,0.0,61416.81,92.47,39611.37,21805.44,0.0,0.0,0.0,0.0,0.0,202608179899535455,110202.22,0.0,0.0,AUGUST MONTHLY,2026,0.0,0.0,0.0,0.0,0.0,61416.81,0.0,0.0,0.0,0.0,0.0,C,Corporation,20000.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN,0.0,66416.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],0.0,0.0,2026-07-31,0.0,0.0,0.0,0.0,"KLEIN, CASSIE MS.",0.0,0.0,0.0,0.0,0.0
0.0,0.0,488089.41,B,Lobbyist/Registrant PAC,C00000422,AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE,DC,Q,PAC - Qualified,6740.0,1869413.47,88.23,0.0,0.0,2026-07-31T00:00:00,2025-01-01T00:00:00,2026,1375808.66,0.0,0.0,913750.0,0.0,1375808.66,0.0,117207.17,2022358.7,0.0,M,Monthly filer,1975-07-03,1975-03-06,300163.0,1869413.47,92.44,1585911.32,283502.15,0.0,0.0,0.0,0.0,0.0,202608179899528545,1134639.45,0.0,0.0,AUGUST MONTHLY,2026,0.0,0.0,0.0,0.0,0.0,1862673.47,117207.17,0.0,0.0,117207.17,8.52,,,37948.49,117207.17,152945.23,0.0,0.0,0.0,,0.0,2022358.7,6740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],0.0,0.0,2026-06-30,0.0,0.0,0.0,0.0,"JORDAN, JOHN ROBERT MR.",0.0,0.0,0.0,0.0,0.0
0.0,0.0,74807.1,U,Unauthorized,C00000489,D R I V E POLITICAL FUND CHAPTER 886,OK,N,PAC - Nonqualified,0.0,19813.76,0.0,0.0,0.0,2026-06-30T00:00:00,2025-01-01T00:00:00,2026,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7489.48,0.0,Q,Quarterly filer,1976-09-21,1976-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202607200300531542,130843.18,0.0,0.0,JULY QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,Labor Organization,5500.0,0.0,191.62,0.0,0.0,0.0,,0.0,53867.46,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,,[],0.0,0.0,2025-06-30,43768.96,0.0,0.0,0.0,JERRY SIMS JR,0.0,0.0,0.0,0.0,0.0
0.0,0.0,117462.0,B,Lobbyist/Registrant PAC,C00000729,AMERICAN DENTAL ASSOCIATION POLITICAL ACTION COMMITTEE,DC,Q,PAC - Qualified,1992.23,1712713.65,94.28,0.0,0.0,2026-07-31T00:00:00,2025-01-01T00:00:00,2026,1485546.84,0.0,0.0,1400500.0,53500.0,1485546.84,0.0,37197.41,1808174.02,0.0,M,Monthly filer,1975-02-09,1975-02-09,0.0,1712713.65,94.72,1011472.14,701241.51,0.0,0.0,0.0,0.0,0.0,202608209899662353,440089.18,0.0,0.0,AUGUST MONTHLY,2026,0.0,0.0,0.0,0.0,0.0,1710721.42,37197.41,0.0,0.0,37197.41,2.5,M,Membership Organization,45857.2,37197.41,177.32,0.0,0.0,0.0,UNKNOWN,0.0,1808174.02,1040.0,952.23,0.0,0.0,0.0,0.0,0.0,0.0,,[],0.0,0.0,2026-06-30,41783.05,0.0,0.0,0.0,"REYNOLDS, ELIZABETH DR.",0.0,0.0,0.0,0.0,0.0
0.0,0.0,5614879.95,B,Lobbyist/Registrant PAC,C00000885,INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES POLITICAL ACTION TOGETHER POLITICAL COMMITTEE,MD,Q,PAC - Qualified,0.0,861110.71,49.21,0.0,0.0,2026-07-31T00:00:00,2025-01-01T00:00:00,2026,1218218.83,0.0,0.0,599500.0,10000.0,1218218.83,0.0,89243.83,1031480.41,0.0,M,Monthly filer,1976-03-12,1975-03-20,0.0,861110.71,83.48,131300.75,729809.96,0.0,0.0,0.0,0.0,0.0,202608199899573904,5428141.53,0.0,0.0,AUGUST MONTHLY,2026,0.0,0.0,0.0,0.0,0.0,861110.71,89243.83,0.0,0.0,89243.83,7.33,L,Labor Organization,529475.0,89243.83,160369.7,0.0,0.0,0.0,UNKNOWN,0.0,1031480.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],0.0,0.0,2026-06-30,0.0,0.0,0.0,0.0,"SMITH, GREGG",0.0,0.0,0.0,0.0,0.0
0.0,0.0,814872.98,B,Lobbyist/Registrant PAC,C00000901,BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS (BUILDPAC),DC,Q,PAC - Qualified,52955.4,2623410.0,93.3,0.0,0.0,2026-07-31T00:00:00,2025-01-01T00:00:00,2026,2802690.06,0.0,0.0,2615000.0,5000.0,2802690.06,0.0,84800.78,2708144.98,0.0,M,Monthly filer,1976-06-30,1975-03-10,0.0,2612410.0,96.46,2504899.85,107510.15,0.0,0.0,0.0,0.0,0.0,202608189899554409,720327.9,0.0,0.0,AUGUST MONTHLY,2026,0.0,0.0,0.0,0.0,0.0,2570454.6,5065.8,0.0,79734.98,84800.78,3.03,T,Trade Association,49933.88,84800.78,0.0,11000.0,0.0,0.41,UNKNOWN,0.0,2708144.98,52955.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],0.0,0.0,2026-06-30,0.0,0.0,0.0,0.0,"BENSON, ALISON",0.0,0.0,0.0,0.0,0.0
0.0,0.0,24232592.09,U,Unauthorized,C00000935,DCCC,DC,Y,Party - Qualified,614465.08,159130123.39,0.77,0.0,889387.91,2026-07-31T00:00:00,2025-01-01T00:00:00,2026,154468998.99,0.0,0.0,299287.29,1586.39,154468998.99,0.0,118946812.62,210406754.27,0.0,M,Monthly filer,1975-01-02,1975-01-02,0.0,112207606.52,53.33,65710748.41,46496858.11,0.0,0.0,0.0,0.0,0.0,202608209899763292,80170347.37,0.0,0.0,AUGUST MONTHLY,2026,20000000.0,0.0,0.0,0.0,0.0,158515658.31,118033059.15,0.0,913753.47,118946812.62,77.0,,,13608159.23,118946812.62,38723417.93,46922516.87,0.0,22.3,DEMOCRATIC PARTY,0.0,210406754.27,554465.08,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],0.0,0.0,2026-07-31,11637873.09,0.0,0.0,110886.86,"MERZ, JULIE",0.0,0.0,0.0,0.0,0.0
0.0,0.0,75985.04,B,Lobbyist/Registrant PAC,C00000984,UNITED STATES TELECOM ASSOCIATION POLITICAL ACTION COMMITTEE (TELECOMPAC),DC,Q,PAC - Qualified,0.0,158214.33,99.8,0.0,0.0,2026-07-31T00:00:00,2025-01-01T00:00:00,2026,71644.0,0.0,0.0,71500.0,0.0,71644.0,0.0,144.0,158611.36,0.0,M,Monthly filer,1975-07-18,1975-07-09,0.0,123214.33,77.68,118740.16,4474.17,0.0,0.0,0.0,0.0,0.0,202608199899577780,162952.4,0.0,0.0,AUGUST MONTHLY,2026,0.0,0.0,0.0,0.0,0.0,158214.33,144.0,0.0,0.0,144.0,0.2,T,Trade Association,0.0,144.0,397.03,35000.0,0.0,22.07,UNKNOWN,0.0,158611.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],0.0,0.0,2026-06-30,0.0,0.0,0.0,0.0,"HEINER, BRANDON",0.0,0.0,0.0,0.0,0.0
0.0,0.0,333613.53,B,Lobbyist/Registrant PAC,C00001016,CARPENTERS LEGISLATIVE IMPROVEMENT COMMITTEE UNITED BROTHERHOOD OF CARPENTERS AND JOINERS,DC,Q,PAC - Qualified,100.41,2271933.08,93.74,0.0,0.0,2026-07-31T00:00:00,2025-01-01T00:00:00,2026,1770891.99,0.0,0.0,1660000.0,15000.0,1770891.99,0.0,100791.58,2286933.08,0.0,M,Monthly filer,1975-03-04,1975-03-04,0.0,2270059.65,99.26,2031294.27,238765.38,0.0,0.0,0.0,0.0,0.0,202608189899544660,849654.62,0.0,0.0,AUGUST MONTHLY,2026,0.0,0.0,0.0,0.0,0.0,2271832.67,100791.58,0.0,0.0,100791.58,5.69,L,Labor Organization,10000.0,100791.58,0.0,1873.43,0.0,0.08,NONE,0.0,2286933.08,100.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],0.0,0.0,2026-06-30,0.0,0.0,0.0,0.0,"FLYNN, THOMAS",0.0,0.0,0.0,0.0,0.0
0.0,0.0,20611.5,U,Unauthorized,C00001180,MICHIGAN DOCTORS POLITICAL ACTION COMMITTEE - MICHIGAN STATE MEDICAL SOCIETY,MI,Q,PAC - Qualified,0.0,0.0,,0.0,0.0,2026-06-30T00:00:00,2025-01-01T00:00:00,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q,Quarterly filer,1975-12-17,1975-07-03,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202607129874889333,20611.5,0.0,0.0,JULY QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,T,Trade Association,0.0,0.0,0.0,0.0,0.0,,NONE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],0.0,0.0,2026-06-30,0.0,0.0,0.0,0.0,"GHOSE, AMIT",0.0,0.0,0.0,0.0,0.0
