cumulative_candidate_disbursements,cumulative_candidate_receipts,cumulative_pac_disbursements,cumulative_pac_receipts,cumulative_party_disbursements,cumulative_party_receipts,cycle,end_date
1280474.0,2165569.0,15849772.0,48471213.0,45428859.0,60848421.0,2026,2025-01-31
1724490.0,2174678.0,30491096.0,107521956.0,90109654.0,127059375.0,2026,2025-02-28
108855954.0,233739231.0,150782779.0,302928545.0,143611692.0,217540057.0,2026,2025-03-31
113640145.0,237147477.0,173063195.0,375120741.0,194967602.0,277557857.0,2026,2025-04-30
113709159.0,237206592.0,184531778.0,435886726.0,238772699.0,334050033.0,2026,2025-05-31
230409949.0,545349538.0,631670523.0,2253954965.0,273920191.0,413920524.0,2026,2025-06-30
230746380.0,545272808.0,654916631.0,2307639702.0,309866915.0,701708551.0,2026,2025-07-31
231330830.0,543778665.0,665432638.0,2367460600.0,345836604.0,754539970.0,2026,2025-08-31
392081633.0,905362495.0,747404643.0,2514002466.0,382162209.0,819317278.0,2026,2025-09-30
395406866.0,907916481.0,768365870.0,2587428779.0,424314802.0,896452497.0,2026,2025-10-31
396012346.0,908345316.0,782233794.0,2655390055.0,466043308.0,944965085.0,2026,2025-11-30
610754431.0,1313617629.0,1280466910.0,4813476860.0,501861858.0,1022592144.0,2026,2025-12-31
615175143.0,1318936333.0,1313727079.0,5024925253.0,542444452.0,1089860697.0,2026,2026-01-31
699039625.0,1366051576.0,1420541981.0,5289354842.0,581487431.0,1166220896.0,2026,2026-02-28
1009340881.0,1874925676.0,1824672211.0,6487786176.0,621740382.0,1279944377.0,2026,2026-03-31
1052795454.0,1896578799.0,1921909093.0,6751541192.0,663249422.0,1355161233.0,2026,2026-04-30
1145999757.0,1949710268.0,2082545301.0,7143233912.0,709267910.0,1427476856.0,2026,2026-05-31
1579528666.0,2429055321.0,2618443027.0,8428746316.0,753069327.0,1527363543.0,2026,2026-06-30
1670949204.0,2472561820.0,2779462512.0,8772600454.0,811983359.0,1608586562.0,2026,2026-07-31
1682663961.0,2477437683.0,2783748827.0,8776994973.0,811983359.0,1608586562.0,2026,2026-08-31
